mode,frequency_Hz,imag_Hz
1,34947.103332161096,0.0
2,54024.35196129476,0.0
3,149914.7043919602,0.0
4,157127.42905128622,0.0
5,299527.0585252677,0.0
6,314972.2890535325,0.0
