frequency_Hz,left_w_real_m,left_w_imag_m,right_w_real_m,right_w_imag_m,diff_w_abs_m_per_Pa,deltaC_F_per_Pa,deltaC_fF_per_Pa,deltaQ_C_per_Pa,deltaQ_fC_per_Pa,relative_dB_vs_1k
20.0,-5.512423418372792e-10,1.9293487411150414e-10,5.509971551195625e-10,-1.9284905892392672e-10,1.167801846050929e-09,4.683752006691726e-16,0.46837520066917254,3.7470016053533805e-15,3.7470016053533803,-0.006322720757064951
1000.0,-5.515945591436857e-10,1.932159894068599e-10,5.513491489196936e-10,-1.9312999557340627e-10,1.168652233672177e-09,4.687162692109766e-16,0.46871626921097664,3.749730153687813e-15,3.749730153687813,0.0
5000.0,-5.601633092831345e-10,2.0014671863499366e-10,5.599124512424855e-10,-2.0005631081478682e-10,1.1894251443860718e-09,4.770477479263125e-16,0.4770477479263125,3.8163819834105e-15,3.8163819834105,0.15303643481248924
10000.0,-5.883684066188381e-10,2.2426177650801406e-10,5.880994689851007e-10,-2.2415578379103487e-10,1.2590293764295556e-09,5.049642101763376e-16,0.5049642101763376,4.039713681410701e-15,4.039713681410701,0.647011399263674
15000.0,-6.404233432149245e-10,2.7468714713180487e-10,6.401206432781154e-10,-2.745477467080938e-10,1.3933599211814626e-09,5.588407270417081e-16,0.5588407270417081,4.470725816333665e-15,4.4707258163336645,1.5275604156505393
20000.0,-7.236863481130006e-10,3.7647565674394365e-10,7.233289393440192e-10,-3.7626653310072735e-10,1.6310959648366717e-09,6.541905224970303e-16,0.6541905224970304,5.2335241799762426e-15,5.233524179976243,2.8958843968066397
