mode,frequency_Hz,imag_Hz
1,34979.930497454974,0.0
2,54024.77848589025,0.0
3,149950.96071442694,0.0
4,157140.35151513026,0.0
5,299454.9646661565,0.0
6,315039.131739506,0.0
