layout,frequency_Hz,damping_Ns_per_m,peak_pressure_Pa,hole_count,hole_radius_um
current_535,1000.0,0.005006610427767884,8.64222537110416,13,18.0
current_535,10000.0,0.004997343227614531,86.23891805930144,13,18.0
current_535,20000.0,0.004969594255392835,171.37995860056228,13,18.0
staggered_454,1000.0,0.0035334922090316683,5.617183291863534,13,18.0
staggered_454,10000.0,0.003531008641287918,56.118999733135105,13,18.0
staggered_454,20000.0,0.0035235204917466144,111.91949148876225,13,18.0
staggered_32323,1000.0,0.003547400514912391,5.170584378336532,13,18.0
staggered_32323,10000.0,0.003545118330445553,51.66665134327311,13,18.0
staggered_32323,20000.0,0.003538230822437014,103.09679241170994,13,18.0
bao_homogeneous_13,1000.0,0.0047286673361996,4.730171836323908,13,18.0
bao_homogeneous_13,10000.0,0.004724994504225265,47.25499881558185,13,18.0
bao_homogeneous_13,20000.0,0.00471392050921461,94.22837006395662,13,18.0
staggered_575_r23,1000.0,0.001966881137106347,3.745669406616387,17,23.0
staggered_575_r23,10000.0,0.0019662765810322985,37.44092685933667,17,23.0
staggered_575_r23,20000.0,0.0019644487301175733,74.78652776333207,17,23.0
bao_17_r23,1000.0,0.0020646729154719396,1.808255632065105,17,23.0
bao_17_r23,10000.0,0.002064403103702282,18.079723437398826,17,23.0
bao_17_r23,20000.0,0.00206358617221109,36.14229382834653,17,23.0
