frequency_Hz,left_real_m,left_imag_m,right_real_m,right_imag_m,diff_m_per_Pa,deltaC_F_per_Pa,deltaQ_C_per_Pa,diff_nm_per_Pa,deltaC_fF_per_Pa,deltaQ_fC_per_Pa,Vout_mV_per_Pa_Cf03,Vout_mV_per_Pa_Cf1,relative_dB_vs_1k,sensitivity_dBV_per_Pa_Cf03
20.0,-6.176967933946208e-10,7.511934743898449e-13,6.171440081593054e-10,-7.502568202432618e-13,1.2348417143647726e-09,4.445787503788557e-16,3.556630003030846e-15,1.2348417143647725,0.44457875037885575,3.556630003030846,11.855433343436154,3.556630003030846,0.008957188765608932,-38.521651338610845
100.0,-6.176797107845617e-10,3.755892941485417e-12,6.171269501755393e-10,-3.751209783338117e-12,1.234829480755442e-09,4.445743459254869e-16,3.5565947674038954e-15,1.234829480755442,0.44457434592548695,3.5565947674038956,11.855315891346319,3.5565947674038956,0.008871137002337902,-38.52173739037411
1000.0,-6.159210663696017e-10,3.748227873120424e-11,6.153708140957762e-10,-3.7435560829575925e-11,1.2335689593956315e-09,4.441205217596433e-16,3.5529641740771464e-15,1.2335689593956314,0.4441205217596433,3.5529641740771463,11.843213913590487,3.5529641740771463,0.0,-38.53060852737645
5000.0,-5.751618453864832e-10,1.7850888550885903e-10,5.746696228257076e-10,-1.782885050994643e-10,1.2039172659431007e-09,4.33445054071443e-16,3.467560432571544e-15,1.2039172659431008,0.433445054071443,3.467560432571544,11.558534775238481,3.467560432571544,-0.21133579328615804,-38.741944320662604
10000.0,-4.676092637324246e-10,3.096079620440409e-10,4.672689860662657e-10,-3.09237718660596e-10,1.1211455384888475e-09,4.036448369826957e-16,3.2291586958615655e-15,1.1211455384888476,0.4036448369826957,3.2291586958615657,10.763862319538553,3.2291586958615657,-0.8300287912111419,-39.36063731858759
15000.0,-3.365428515976383e-10,3.7603939366829197e-10,3.3638355025261623e-10,-3.7561547677116305e-10,1.0088681710523352e-09,3.632217356814653e-16,2.9057738854517222e-15,1.0088681710523353,0.36322173568146526,2.905773885451722,9.68591295150574,2.905773885451722,-1.7465802392237764,-40.27718876660023
18000.0,-2.612539640937034e-10,3.8882202427844987e-10,2.6119495417439765e-10,-3.8840608024773296e-10,9.36502214981295e-10,3.3716789740747697e-16,2.6973431792598157e-15,0.936502214981295,0.337167897407477,2.697343179259816,8.991143930866054,2.697343179259816,-2.3930924738706705,-40.92370100124712
20000.0,-2.152367284887086e-10,3.8875904358307094e-10,2.152367797085826e-10,-3.883610274538344e-10,8.883822634812607e-10,3.198433223973256e-16,2.5587465791786047e-15,0.8883822634812607,0.3198433223973256,2.558746579178605,8.529155263928683,2.558746579178605,-2.851271065875991,-41.38187959325244
